id,address_state,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,loan_category,good_loan_flag,bad_loan_flag,issue_year,issue_month,issue_month_name,issue_year_month,payment_difference,payment_ratio
1077430,GA,< 1 year,Ryder,C,RENT,2021-11-02,2021-09-13,2021-04-13,Charged Off,2021-05-13,1314167,car,C4,60 months,Source Verified,30000.0,0.01,59.83,0.1527,2500,4,1009,Bad Loan,0,1,2021.0,11.0,November,2021-11,-1491,0.4036
1072053,CA,9 years,MKC Accounting,E,RENT,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1288686,car,E1,36 months,Source Verified,48000.0,0.0535,109.43,0.1864,3000,4,3939,Good Loan,1,0,2021.0,1.0,January,2021-01,939,1.313
1069243,CA,4 years,Chemat Technology Inc,C,RENT,2021-05-01,2021-12-12,2021-01-09,Charged Off,2021-02-09,1304116,car,C5,36 months,Not Verified,50000.0,0.2088,421.65,0.1596,12000,11,3522,Bad Loan,0,1,2021.0,5.0,May,2021-05,-8478,0.2935
1041756,TX,< 1 year,barnes distribution,B,MORTGAGE,,2021-12-12,2021-03-12,Fully Paid,2021-04-12,1272024,car,B2,60 months,Source Verified,42000.0,0.054,97.06,0.1065,4500,9,4911,Good Loan,1,0,,,,,411,1.0913
1068350,IL,10+ years,J&J Steel Inc,A,MORTGAGE,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1302971,car,A1,36 months,Verified,83000.0,0.0231,106.53,0.0603,3500,28,3835,Good Loan,1,0,2021.0,1.0,January,2021-01,335,1.0957
1062608,CA,3 years,Studio 94 Corp,C,RENT,,2021-03-16,2021-08-12,Fully Paid,2021-09-12,1294481,car,C3,36 months,Not Verified,28000.0,0.126,275.96,0.1465,8000,11,8637,Good Loan,1,0,,,,,637,1.0796
1067441,TX,10+ years,American Airlines,C,MORTGAGE,,2021-06-14,2021-12-13,Fully Paid,2022-01-13,1301833,car,C2,36 months,Verified,94800.0,0.2453,205.86,0.1427,6000,30,7218,Good Loan,1,0,,,,,1218,1.203
1066424,PA,10+ years,SCI Mahanoy,A,OWN,2021-11-06,2021-07-14,2021-07-14,Fully Paid,2021-08-14,1291243,car,A4,36 months,Source Verified,59000.0,0.0665,172.1,0.079,5500,23,6172,Good Loan,1,0,2021.0,11.0,November,2021-11,672,1.1222
1065254,FL,10+ years,Tech Data Corp,A,MORTGAGE,2021-02-09,2021-06-15,2021-10-12,Charged Off,2021-11-12,1299335,car,A5,36 months,Verified,116400.0,0.0394,762.08,0.089,24000,31,8650,Bad Loan,0,1,2021.0,2.0,February,2021-02,-15350,0.3604
1064589,MI,10+ years,teltow contracting,B,MORTGAGE,2021-09-02,2021-03-16,2021-03-16,Fully Paid,2021-04-16,1298401,car,B5,60 months,Not Verified,36000.0,0.1773,93.21,0.1269,4125,21,5551,Good Loan,1,0,2021.0,9.0,September,2021-09,1426,1.3457
1057766,TX,10+ years,Ericsson,B,MORTGAGE,,2021-09-13,2021-08-13,Fully Paid,2021-09-13,1289131,car,B5,36 months,Not Verified,75000.0,0.088,181.15,0.1269,5400,33,6277,Good Loan,1,0,,,,,877,1.1624
1062734,CA,3 years,myrvpartsplace.com,B,RENT,2021-11-09,2021-03-13,2021-10-12,Charged Off,2021-11-12,1295018,car,B4,36 months,Not Verified,75000.0,0.2288,374.26,0.1242,11200,13,4225,Bad Loan,0,1,2021.0,11.0,November,2021-11,-6975,0.3772
1062654,CA,4 years,AEG LIVE,B,RENT,2021-11-08,2021-10-13,2021-09-13,Fully Paid,2021-10-13,1294929,car,B3,36 months,Not Verified,35000.0,0.0401,165.38,0.1171,5000,3,5728,Good Loan,1,0,2021.0,11.0,November,2021-11,728,1.1456
1020855,CA,5 years,henkel corporation,B,RENT,2021-11-12,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1249642,car,B5,36 months,Not Verified,48000.0,0.1533,268.36,0.1269,8000,15,9661,Good Loan,1,0,2021.0,11.0,November,2021-11,1661,1.2076
1060945,IL,4 years,AXA Assistance,B,RENT,2021-11-10,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1293124,car,B4,36 months,Not Verified,92000.0,0.106,200.5,0.1242,6000,18,7218,Good Loan,1,0,2021.0,11.0,November,2021-11,1218,1.203
1060995,RI,< 1 year,HSA-UWC,B,RENT,2021-11-12,2021-02-14,2021-10-13,Charged Off,2021-11-13,1292578,car,B4,36 months,Source Verified,60000.0,0.063,400.99,0.1242,12000,14,9547,Bad Loan,0,1,2021.0,11.0,November,2021-11,-2453,0.7956
1046507,TX,1 year,Child's Day,B,RENT,2021-02-12,2021-04-16,2021-12-14,Fully Paid,2022-01-14,1277552,car,B1,36 months,Verified,16800.0,0.035,98.29,0.0991,3050,8,3538,Good Loan,1,0,2021.0,2.0,February,2021-02,488,1.16
