purpose,Applications,Funded_Amount,Amount_Received,Average_Loan
Debt consolidation,18214,232459675,253801871,12762.692159877017
credit card,4998,58885175,65214084,11781.747699079631
other,3824,31155750,33289676,8147.424163179916
home improvement,2876,33350775,36380930,11596.236091794159
major purchase,2110,17251600,18676927,8176.113744075829
small business,1776,24123100,23814817,13582.826576576577
car,1497,10223575,11324914,6829.37541750167
wedding,928,9225800,10266856,9941.594827586207
medical,667,5533225,5851372,8295.689655172413
moving,559,3748125,3999899,6705.05366726297
house,366,4824925,5185538,13182.855191256831
vacation,352,1967950,2116738,5590.767045454545
educational,315,2161650,2248380,6862.380952380952
renewable_energy,94,845750,898931,8997.340425531915
