address_state,Applications,Funded_Amount,Amount_Received,Average_Loan
CA,6894,78484125,83901234,11384.410356832028
NY,3701,42077050,46108181,11369.10294514996
FL,2773,30046125,31601905,10835.241615578796
TX,2664,31236650,34392715,11725.46921921922
NJ,1822,21657475,23425159,11886.649286498354
IL,1486,17124225,18875941,11523.704576043068
PA,1482,15826525,17462908,10679.166666666666
VA,1375,15982650,17711443,11623.745454545455
GA,1355,15480325,16728040,11424.59409594096
MA,1310,15051000,16676279,11489.312977099236
OH,1188,12991375,14330148,10935.500841750842
MD,1027,11911400,12985170,11598.247322297955
AZ,833,9206000,10041986,11051.620648259304
WA,805,8855525,9531739,11000.652173913044
CO,770,8976000,9845810,11657.142857142857
NC,759,8787575,9534813,11577.832674571806
CT,730,8435575,9357612,11555.582191780823
MI,685,7829900,8543660,11430.51094890511
MO,660,7151175,7692732,10835.113636363636
MN,592,6302600,6750746,10646.283783783783
NV,482,5307375,5451443,11011.151452282158
SC,464,5080475,5462458,10949.299568965518
WI,446,5070450,5485161,11368.72197309417
OR,436,4720150,4966903,10826.032110091743
AL,432,4949225,5492272,11456.539351851852
LA,426,4498900,5001160,10560.798122065728
KY,320,3504100,3792530,10950.3125
OK,293,3365725,3712649,11487.11604095563
KS,260,2872325,3247394,11047.403846153846
UT,252,2849225,2952412,11306.448412698413
AR,236,2529700,2777875,10719.06779661017
DC,214,2652350,2921854,12394.158878504673
RI,196,1883025,2001774,9607.270408163266
NM,183,1916775,2084485,10474.180327868853
HI,170,1850525,2080184,10885.441176470587
WV,167,1830525,1991936,10961.22754491018
NH,161,1917900,2101386,11912.422360248447
DE,110,1138100,1269136,10346.363636363636
WY,79,890750,1046050,11275.316455696202
MT,79,829525,892047,10500.316455696202
AK,78,1031800,1108570,13228.205128205129
SD,63,606150,656514,9621.42857142857
VT,54,504100,534973,9335.185185185184
MS,19,139125,149342,7322.368421052632
TN,17,162175,141522,9539.70588235294
IN,9,86225,85521,9580.555555555555
ID,6,59750,65329,9958.333333333334
IA,5,56450,64482,11290.0
NE,5,31700,24542,6340.0
ME,3,9200,10808,3066.6666666666665
